pose_id,pose,right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder
18347,squat,-21.34610303,49.80309571466272,-43.0846878,189.7102749927796,209.2658330588341,-170.7361331,-193.5777845
18348,squat,-21.80902066,49.57914187795016,-39.17296155,189.49469589377952,202.4887385064266,-170.8433169,-193.9639037
18349,squat,-22.88215875,46.02374379901672,-35.15499025,188.48061013836943,194.2021538991105,-170.4410112,-191.1680879
18350,squat,-22.01975184,45.154531812333744,-31.83039625,189.3598737028752,191.12669508124335,-175.3397142,-190.0335926
18351,squat,-22.5852885,42.953233734628895,-28.30343774,189.03878776279345,186.95954500309625,-178.0681905,-188.5537142
18352,squat,-24.22280469,40.21984403117082,-24.02408532,188.45859286879207,180.95862272589585,-178.5224838,-185.7380639
18353,squat,-24.85138366,37.25669861860058,-20.79950846,186.83466338114573,173.62350359891929,-184.3723183,-183.1293013
18354,squat,-25.70908036,33.64213741090144,-19.90502128,186.22689580363905,172.11098710662333,-188.4819326,-182.4730346
18355,squat,-26.3249298,25.769559650467805,-18.67458211,185.96222487352452,170.0225755268829,-188.094688,-176.039151
18356,squat,-25.79724045,22.281035111683305,-18.17705484,185.8684563709193,169.97583648531494,-186.4164664,-175.2345621
18357,squat,-25.36530339,18.84147208103139,-18.37734696,185.4177835344586,170.0709228581742,-185.2169838,-174.8613058
18358,squat,-24.47436005,16.369061480515136,-18.52676687,184.9956010864917,170.47408750222402,-184.964488,-173.3145992
18359,squat,-23.64641174,14.97808283,-18.57040081,184.6876509,170.74211043119914,-184.4003002,-171.6851525
18360,squat,-23.340146,14.935721516240488,-18.61190881,184.7721464131215,170.72930668732087,-184.1861005,-171.0789146
18361,squat,-24.55301426,16.950986289698413,-18.49640493,185.27001077732743,170.3964659427157,-184.4406793,-173.4669778
18362,squat,-25.06774961,18.653289058485058,-18.71906582,185.6351991739365,170.7835118641222,-184.4115453,-172.9763082
18363,squat,-24.94949036,21.984467067121717,-18.82195736,186.0207457551232,170.91558060871645,-184.1654621,-172.130349
